Player,Pos,Tm,SAW_score,SAW_rank,TOPSIS_score,TOPSIS_rank,Hellwig_score,Hellwig_rank,AGR_score,AGR_rank
Nikola Jokić,C,DEN,0.7371604035372435,1,0.734366426780205,1,0.41487156457692764,4,0.9830727450338673,1
LeBron James,PF,LAL,0.7270730207276962,2,0.6913863796826247,2,0.41742443050521616,3,0.9540783881738818,2
Shai Gilgeous-Alexander,PG,OKC,0.6606900062662141,5,0.6733457389424135,5,0.42125481049226876,2,0.9068829305510173,3
Luka Dončić,PG,DAL,0.6766202803461308,3,0.6803930712848923,4,0.31682839562349974,17,0.8535182160620179,4
Joel Embiid,C,PHI,0.6607845236821448,4,0.6896970130410492,3,0.31678416672086074,18,0.8494529054218445,5
Anthony Davis,C,LAL,0.6518558788967995,6,0.6360461961767215,6,0.3602022111812141,7,0.8411786302926736,6
Anthony Edwards,SG,MIN,0.617020191354431,7,0.6174600964569641,7,0.34530280626020693,9,0.8003577151807727,7
Tyrese Haliburton,PG,IND,0.60054110856293,8,0.5584776754476973,12,0.383319929824524,5,0.7810982296619593,8
Jayson Tatum,PF,BOS,0.5895461273769895,11,0.6151903380176416,8,0.3273413849762936,13,0.7712952559231998,9
Jarrett Allen,C,CLE,0.5522808160616696,14,0.48625985244969266,20,0.4413183613311372,1,0.7482209873765051,10
James Harden,PG,LAC,0.5757620194224231,12,0.5677702943726778,11,0.3375949689817921,11,0.742494209464574,11
Tyrese Maxey,PG,PHI,0.5917535062064508,9,0.5867496776609591,9,0.27077963309133235,33,0.7200838503939112,12
Jalen Williams,PF,OKC,0.5346453865718012,19,0.5163392467520155,19,0.35194932412784097,8,0.6978364674258196,13
Kevin Durant,PF,PHO,0.5468434562347956,16,0.5267287720495969,17,0.33005779101427535,12,0.6970060997530845,14
Donovan Mitchell,SG,CLE,0.5549614311936844,13,0.5545675465979322,14,0.2641492520331674,35,0.6755976091386595,15
Jalen Brunson,PG,NYK,0.5902101500310204,10,0.5853724467872808,10,0.20169279992640277,55,0.674161140019512,16
Evan Mobley,PF,CLE,0.49521092354148094,23,0.4641800287900049,30,0.36943874588539716,6,0.6557634005281139,17
Paolo Banchero,PF,ORL,0.5387405443887909,18,0.5478821055466649,15,0.23456407871803986,42,0.6432238663584908,18
Damian Lillard,PG,MIL,0.5495882043296628,15,0.5366692387997203,16,0.22151895665140597,50,0.6348633723259965,19
Devin Booker,PG,PHO,0.5447611586926429,17,0.5560644409279615,13,0.19939493860228064,57,0.628972013583311,20
Pascal Siakam,PF,IND,0.5019020996976538,21,0.4810645868962624,26,0.29533198517898307,24,0.6219787957744737,21
Jaylen Brown,SF,BOS,0.5010621438714403,22,0.48548374853115395,21,0.28939478150475173,27,0.6202166358656633,22
Josh Hart,SF,NYK,0.4874497261551058,24,0.48524489858508685,22,0.2995677267798109,21,0.61853249413484,23
Derrick White,SG,BOS,0.4810128444994384,25,0.43540168405343466,32,0.3382766326580965,10,0.6109035598081083,24
Franz Wagner,SF,ORL,0.4799170520428395,26,0.48189947302592,24,0.2818418402262106,29,0.600808643225938,25
Aaron Gordon,PF,DEN,0.47869461541277936,29,0.42892603325788903,35,0.3260075793008005,14,0.5979634628750434,26
Chet Holmgren,C,OKC,0.4678877165281188,31,0.43963781080711195,31,0.3248096371268193,16,0.5969443582026053,27
Paul George,PF,LAC,0.4788687187176397,27,0.485194241756502,23,0.24901782834960906,38,0.5810692025234728,28
Khris Middleton,SF,MIL,0.5038822839312433,20,0.526489350890529,18,0.1861086644795945,65,0.579301966486507,29
Jrue Holiday,PG,BOS,0.4635022745150482,34,0.4123226085689533,37,0.32507043604746255,15,0.5788450104679439,30
Austin Reaves,SG,LAL,0.4637903934001997,33,0.41496241329095296,36,0.3052344533965864,19,0.5678339655703242,31
Kyrie Irving,SG,DAL,0.47869537655299665,28,0.47505183873275797,27,0.22613823360189078,46,0.5605040295244202,32
Myles Turner,C,IND,0.44770360052500335,36,0.4055897520711663,39,0.2984964224040285,23,0.5486212995601216,33
Bam Adebayo,C,MIA,0.4769791422645712,30,0.4818894883914087,25,0.19526870743704117,61,0.5436526487041932,34
Donte DiVincenzo,SG,NYK,0.4427096616212828,37,0.4004648704894613,42,0.29435779823433217,25,0.540076015135018,35
Jamal Murray,PG,DEN,0.4640521880629508,32,0.4748412825219517,28,0.1990171605972224,58,0.5343559096391095,36
CJ McCollum,PG,NOP,0.4540277682995898,35,0.46684984725963735,29,0.19661282202269548,60,0.5222982169122533,37
Mike Conley,PG,MIN,0.4369812891973738,39,0.4101385704918477,38,0.24813402981021893,39,0.5126490320197499,38
Rudy Gobert,C,MIN,0.42160931971819937,43,0.3813857177316149,46,0.28708313951711795,28,0.5119835359734531,39
Karl-Anthony Towns,PF,MIN,0.4420741779839826,38,0.4311484744641365,33,0.22236852925896244,49,0.5112256879964276,40
Jusuf Nurkić,C,PHO,0.4088036459634926,48,0.38454159645957503,45,0.29406526199725336,26,0.510682174039067,41
OG Anunoby,SF,NYK,0.41814112927307234,44,0.35752423679867323,57,0.29902227822744576,22,0.503883227188382,42
Michael Porter Jr.,SF,DEN,0.41360030404091297,46,0.3636647586616059,56,0.28046725676572914,30,0.4928417023610422,43
Darius Garland,PG,CLE,0.4338978632195376,40,0.4300764209886791,34,0.19662699522163074,59,0.4892945903032033,44
Trey Murphy III,SF,NOP,0.4012993472724003,51,0.3714995738881962,50,0.278964293339235,31,0.4890924596708578,45
Ivica Zubac,C,LAC,0.4176767903329232,45,0.38541770217696997,44,0.24538761117696328,40,0.4852814204771416,46
Al Horford,C,BOS,0.4067041413874859,49,0.329016270231488,61,0.3006323461473095,20,0.48178882606052675,47
Kelly Oubre Jr.,SF,PHI,0.40036319158248534,52,0.3662403835378461,55,0.25652481422795836,36,0.47115880919766595,48
Brook Lopez,C,MIL,0.4225887603326433,42,0.37099842703521235,51,0.22646663525487598,45,0.4678068182831692,49
Bobby Portis,PF,MIL,0.40957441012938167,47,0.3944541747066398,43,0.20084564599474908,56,0.4571599404151868,50
Andrew Nembhard,PG,IND,0.4259986156459566,41,0.4018544929093607,41,0.1766333106934901,68,0.45563109430581206,51
Nikola Jović,PF,MIA,0.3889070862653177,56,0.3204002276334112,64,0.27609988645630423,32,0.450608459776777,52
Kristaps Porziņģis,C,BOS,0.3825020499775309,61,0.33055090556463534,60,0.2647627673651525,34,0.44538371338934124,53
Jalen Suggs,SG,ORL,0.3963473829154049,54,0.3722284252648979,49,0.20328680131316523,54,0.4381417839803038,54
Isaiah Hartenstein,C,NYK,0.3871116193670568,58,0.34644863299245987,59,0.2289125311729867,43,0.4342867740718672,55
T.J. McConnell,PG,IND,0.40189549478411557,50,0.3689195037263903,53,0.19361405575471335,63,0.43333687132149257,56
Patrick Beverley,PG,MIL,0.3824295219703411,62,0.36736370480887914,54,0.20397754702513127,53,0.4275539830217426,57
Brandon Ingram,SF,NOP,0.3877164140393497,57,0.37715392970398054,48,0.18864327244605217,64,0.42648548578007694,58
Dereck Lively II,C,DAL,0.37604797503124066,64,0.3048136882815487,68,0.25554936835078434,37,0.4209010756310519,59
Jonas Valančiūnas,C,NOP,0.3840420801915161,60,0.3697366861169998,52,0.16555918375448264,74,0.4052802706224172,60
D'Angelo Russell,PG,LAL,0.3892204621789949,55,0.35638088658093464,58,0.1696306485415776,71,0.40328977022336593,61
Daniel Gafford,PF,DAL,0.3627075235212467,67,0.2985464633609562,70,0.2433194214881943,41,0.40158062184405974,62
P.J. Washington,PF,DAL,0.36525236916379755,65,0.3253891602104054,63,0.216270039554474,52,0.4011732881184557,63
Tyler Herro,SG,MIA,0.3994246521272727,53,0.40224452318806403,40,0.11440467348473515,95,0.4002941417162475,64
Delon Wright,PG,MIA,0.3865020481772295,59,0.2868615838542709,74,0.22796214699038642,44,0.39913376219966074,65
Jaden McDaniels,SF,MIN,0.35812823708689245,69,0.3072818907232628,67,0.2234497206480709,48,0.3911635128928829,66
Bradley Beal,SG,PHO,0.3769634075737306,63,0.38113923242292413,47,0.11038457648203581,97,0.37231675918217,67
Obi Toppin,PF,IND,0.3599912762094681,68,0.2825619929173751,76,0.19437452131967226,62,0.35947553937751286,68
Jonathan Isaac,PF,ORL,0.3281686660463822,78,0.26800423494728703,83,0.22576069912812868,47,0.3523743453730015,69
Jaime Jaquez Jr.,SF,MIA,0.3520736810024797,70,0.31426567812307993,65,0.15739652204789256,78,0.34930847361738215,70
Herbert Jones,SF,NOP,0.3464277546182707,71,0.32787554118939954,62,0.1411575355452913,84,0.34338013288206903,71
Alec Burks,SG,NYK,0.3629987897823199,66,0.3021799174017877,69,0.14586557029399416,81,0.341462210305466,72
Kyle Lowry,PG,PHI,0.33320457851959095,73,0.3124537775485341,66,0.15743797626609468,77,0.3371253884566133,73
Mitchell Robinson,C,NYK,0.30262650159396476,90,0.2727875683783866,80,0.21812531257667522,51,0.3351109211889638,74
Kentavious Caldwell-Pope,SG,DEN,0.32919423438986384,76,0.28834898814955423,73,0.17561128109210355,69,0.33255472736814823,75
Larry Nance Jr.,C,NOP,0.33168111342702145,74,0.2814999700246936,77,0.16862631493360591,72,0.32562705104959366,76
Naz Reid,C,MIN,0.3278474294124664,79,0.26978998893296147,81,0.1817648022720264,67,0.3250490843952486,77
Caris LeVert,SG,CLE,0.3336526046026677,72,0.27696488411200265,79,0.1676290521738708,73,0.32355415536724774,78
Tobias Harris,PF,PHI,0.3288833919202136,77,0.28395320674707797,75,0.15641062827896346,79,0.31755957962696185,79
Max Strus,SF,CLE,0.3311946914333262,75,0.2938643840614437,72,0.14174307149532506,83,0.3152257055445027,80
Derrick Jones Jr.,SF,DAL,0.3171672703576025,82,0.26006199239483957,85,0.181843401914626,66,0.31319617936410304,81
Luguentz Dort,SF,OKC,0.32609503769816456,80,0.2984902371770967,71,0.13550107311362103,88,0.3108653724143921,82
Wendell Carter Jr.,C,ORL,0.30849986829757703,88,0.26608035062682683,84,0.1649525662442357,75,0.3007068738606603,83
Nicolas Batum,PF,PHI,0.30879842841218835,87,0.2520369247669686,87,0.17004286090674736,70,0.2960852313817842,84
Aaron Nesmith,SF,IND,0.31571473818580464,83,0.28054211160120085,78,0.1296597250835898,90,0.2906852012968779,85
Pat Connaughton,SF,MIL,0.30969664892781074,85,0.24839763528602918,89,0.1628001639614639,76,0.28989349276974385,86
Caleb Martin,SF,MIA,0.3207833212823613,81,0.2692820037775165,82,0.1323370563825279,89,0.2889396429226358,87
Eric Gordon,SG,PHO,0.29759808923808506,91,0.25008895956405425,88,0.14392652624590185,82,0.2716215824338516,88
Josh Giddey,SG,OKC,0.31402215847682513,84,0.24750224506437837,90,0.12951971276833618,91,0.2706393183232481,89
Malik Beasley,SG,MIL,0.30892197619722417,86,0.23966970398566367,94,0.13803955551015878,85,0.26857985466896617,90
Miles McBride,PG,NYK,0.3060921318454759,89,0.25633502718793594,86,0.11800416744071718,93,0.2636415538965179,91
Naji Marshall,SF,NOP,0.296385861593755,92,0.23922563081834392,96,0.1369421012695171,87,0.26020152076103853,92
Precious Achiuwa,PF,NYK,0.2776818605617926,96,0.2413812762138355,93,0.1509637639313327,80,0.2593402954306776,93
Aaron Wiggins,SG,OKC,0.2895348533072459,93,0.21713519632835254,100,0.13725772886163312,86,0.24367503713105323,94
Nickeil Alexander-Walker,SG,MIN,0.285757085663194,94,0.23259267003901113,97,0.11209988189025266,96,0.23420403802285925,95
Kyle Anderson,PF,MIN,0.2758818488531571,99,0.22698242777701058,98,0.11666618708731735,94,0.22806225632310295,96
Josh Green,SG,DAL,0.2758868731421722,98,0.214901839929054,102,0.12440239752531401,92,0.22608640237736607,97
Isaiah Joe,SG,OKC,0.27848103195944,95,0.21266402401634504,104,0.10209535800304947,100,0.21206070253919235,98
Moritz Wagner,C,ORL,0.2519159911664081,106,0.21666171412440227,101,0.10841732919616731,98,0.20267444432612064,99
Terance Mann,SG,LAC,0.2763156220548594,97,0.2458595873753957,92,0.05554454547294341,112,0.20002761350694892,100
Norman Powell,SG,LAC,0.2678054650059415,100,0.24686782267711868,91,0.0604173765321131,110,0.1986870104348742,101
Ben Sheppard,SG,IND,0.26143570674234584,103,0.20240455935968996,110,0.10381588681886156,99,0.19718575748638978,102
Russell Westbrook,PG,LAC,0.2630244716856058,102,0.23953020811295966,95,0.06622742859448516,107,0.1953660302839521,103
Cason Wallace,SG,OKC,0.2477109910109,108,0.2026519532727967,109,0.09411268183843036,101,0.1829923684837631,104
Payton Pritchard,PG,BOS,0.26573373338384376,101,0.21347253915379566,103,0.06353149451285722,108,0.18029558493345565,105
Marcus Morris,PF,CLE,0.25679402898798376,105,0.20350633508361451,108,0.07781113165716635,103,0.17842570762779114,106
Markelle Fultz,PG,ORL,0.25717862793680685,104,0.19751203275809476,112,0.08059638193109175,102,0.17699727297556095,107
Taurean Prince,PF,LAL,0.2501846392510514,107,0.20569904692245478,107,0.07080804482572767,106,0.1712886608074701,108
Gary Harris,SG,ORL,0.22844560033907335,113,0.21245194351516583,105,0.07214589317769815,104,0.16314982923541826,109
Maxi Kleber,C,DAL,0.23813355499376768,110,0.18780039737067236,115,0.07175382852851997,105,0.15449189790471318,110
Isaac Okoro,SF,CLE,0.22904786095550383,112,0.1952148025231676,113,0.061405191743972076,109,0.14674318461591285,111
Christian Braun,SG,DEN,0.23520495289365242,111,0.19297134770393026,114,0.05632513499131664,111,0.14584956095713636,112
Rui Hachimura,PF,LAL,0.2419084273696403,109,0.20767415661209904,106,0.02752350831600958,114,0.13981813337243998,113
Royce O'Neale,SF,PHO,0.22771775435095692,114,0.19882956846818203,111,0.039226956336194885,113,0.13383433730562638,114
Haywood Highsmith,PF,MIA,0.2065325476857096,115,0.1774180055558084,116,0.004943627436580833,115,0.08706668233992279,115
Jose Alvarado,PG,NOP,0.19525004262574597,116,0.22011214838318813,99,-0.07947481722662397,117,0.050848424068351834,116
Amir Coffey,SF,LAC,0.17408015950160088,117,0.1533218224162372,117,-0.020213776063690014,116,0.03792999063917994,117
